timestamp(ms),RawRoll,FilteredRoll,RawPitch,FilteredPitch,
"1763781614.931","-0.41",,,,
"1763781614.934",,"-1.88","-4.69",,
"1763781614.936",,,,"-4.29",
"1763781614.941","-0.42",,,,
"1763781614.943",,"-1.88","-4.69",,
"1763781614.946",,,,"-4.29",
"1763781614.95","-0.41",,,,
"1763781614.953",,"-1.88","-4.63",,
"1763781614.955",,,,"-4.29",
"1763781614.959","-0.38",,,,
"1763781614.962",,"-1.88","-4.76",,
"1763781614.964",,,,"-4.29",
"1763781614.969","-0.4",,,,
"1763781614.972",,"-1.88","-4.68",,
"1763781614.974",,,,"-4.29",
"1763781614.978","-0.43",,,,
"1763781614.981",,"-1.88","-4.63",,
"1763781614.983",,,,"-4.29",
"1763781614.988","-0.38",,,,
"1763781614.99",,"-1.88","-4.56",,
"1763781614.993",,,,"-4.29",
"1763781614.997","-0.32",,,,
"1763781615",,"-1.88","-4.68",,
"1763781615.002",,,,"-4.29",
"1763781615.007","-0.38",,,,
"1763781615.009",,"-1.88","-4.74",,
"1763781615.012",,,,"-4.29",
"1763781615.016","-0.41",,,,
"1763781615.019",,"-1.88","-4.63",,
"1763781615.021",,,,"-4.29",
"1763781615.025","-0.39",,,,
"1763781615.028",,"-1.88","-4.61",,
"1763781615.03",,,,"-4.29",
"1763781615.035","-0.49",,,,
"1763781615.038",,"-1.88","-4.68",,
"1763781615.04",,,,"-4.29",
"1763781615.044","-0.41",,,,
"1763781615.047",,"-1.88","-4.63",,
"1763781615.049",,,,"-4.29",
"1763781615.054","-0.48",,,,
"1763781615.057",,"-1.88","-4.53",,
"1763781615.059",,,,"-4.29",
"1763781615.063","-0.39",,,,
"1763781615.066",,"-1.88","-4.65",,
"1763781615.068",,,,"-4.29",
"1763781615.073","-0.52",,,,
"1763781615.075",,"-1.88","-4.45",,
"1763781615.078",,,,"-4.29",
"1763781615.082","-0.34",,,,
"1763781615.085",,"-1.88","-4.52",,
"1763781615.087",,,,"-4.29",
"1763781615.092","-0.34",,,,
"1763781615.094",,"-1.88","-4.48",,
"1763781615.096",,,,"-4.29",
"1763781615.101","-0.29",,,,
"1763781615.104",,"-1.88","-4.55",,
"1763781615.106",,,,"-4.29",
"1763781615.11","-0.35",,,,
"1763781615.113",,"-1.88","-4.56",,
"1763781615.115",,,,"-4.29",
"1763781615.12","-0.34",,,,
"1763781615.122",,"-1.88","-4.7",,
"1763781615.124",,,,"-4.29",
"1763781615.129","-0.38",,,,
"1763781615.132",,"-1.88","-4.6",,
"1763781615.134",,,,"-4.29",
"1763781615.139","-0.53",,,,
"1763781615.141",,"-1.88","-4.75",,
"1763781615.143",,,,"-4.29",
"1763781615.148","-0.57",,,,
"1763781615.151",,"-1.88","-4.61",,
"1763781615.153",,,,"-4.29",
"1763781615.157","-0.41",,,,
"1763781615.16",,"-1.88","-4.62",,
"1763781615.163",,,,"-4.29",
"1763781615.167","-0.33",,,,
"1763781615.17",,"-1.88","-4.46",,
"1763781615.172",,,,"-4.29",
"1763781615.176","-0.32",,,,
"1763781615.179",,"-1.88","-4.68",,
"1763781615.181",,,,"-4.29",
"1763781615.186","-0.4",,,,
"1763781615.189",,"-1.88","-4.58",,
"1763781615.19",,,,"-4.29",
"1763781615.195","-0.31",,,,
"1763781615.198",,"-1.88","-4.65",,
"1763781615.2",,,,"-4.29",
"1763781615.205","-0.38",,,,
"1763781615.207",,"-1.88","-4.48",,
"1763781615.21",,,,"-4.29",
"1763781615.214","-0.42",,,,
"1763781615.217",,"-1.88","-4.7",,
"1763781615.219",,,,"-4.29",
"1763781615.223","-0.5",,,,
"1763781615.226",,"-1.88","-4.55",,
"1763781615.228",,,,"-4.29",
"1763781615.233","-0.39",,,,
"1763781615.236",,"-1.88","-4.64",,
"1763781615.238",,,,"-4.3",
"1763781615.242","-0.42",,,,
"1763781615.245",,"-1.88","-4.53",,
"1763781615.247",,,,"-4.29",
"1763781615.252","-0.38",,,,
"1763781615.254",,"-1.88",,,
"1763781615.255",,,"-4.59",,
"1763781615.256",,,,"-4.29",
"1763781615.261","-0.43",,,,
"1763781615.264",,"-1.88","-4.48",,
"1763781615.266",,,,"-4.29",
"1763781615.27","-0.35",,,,
"1763781615.273",,"-1.88","-4.67",,
"1763781615.275",,,,"-4.29",
"1763781615.28","-0.39",,,,
"1763781615.283",,"-1.88","-4.56",,
"1763781615.285",,,,"-4.29",
"1763781615.289","-0.32",,,,
"1763781615.292",,"-1.88","-4.65",,
"1763781615.294",,,,"-4.29",
"1763781615.299","-0.42",,,,
"1763781615.301",,"-1.88",,,
"1763781615.302",,,"-4.57",,
"1763781615.304",,,,"-4.29",
"1763781615.308","-0.35",,,,
"1763781615.311",,"-1.88","-4.7",,
"1763781615.313",,,,"-4.29",
"1763781615.317","-0.41",,,,
"1763781615.32",,"-1.88",,,
"1763781615.321",,,"-4.53",,
"1763781615.322",,,,"-4.29",
"1763781615.327","-0.34",,,,
"1763781615.33",,"-1.88","-4.79",,
"1763781615.332",,,,"-4.3",
"1763781615.336","-0.41",,,,
"1763781615.339",,"-1.88","-4.55",,
"1763781615.341",,,,"-4.3",
"1763781615.346","-0.39",,,,
"1763781615.349",,"-1.88","-4.7",,
"1763781615.351",,,,"-4.3",
"1763781615.355","-0.38",,,,
"1763781615.358",,"-1.88","-4.48",,
"1763781615.36",,,,"-4.3",
"1763781615.365","-0.36",,,,
"1763781615.367",,"-1.88","-4.72",,
"1763781615.37",,,,"-4.3",
"1763781615.374","-0.43",,,,
"1763781615.377",,"-1.88","-4.5",,
"1763781615.379",,,,"-4.3",
"1763781615.384","-0.5",,,,
"1763781615.386",,"-1.88","-4.59",,
"1763781615.388",,,,"-4.3",
"1763781615.393","-0.46",,,,
"1763781615.396",,"-1.88","-4.41",,
"1763781615.398",,,,"-4.29",
"1763781615.402","-0.42",,,,
"1763781615.405",,"-1.88","-4.75",,
"1763781615.407",,,,"-4.3",
"1763781615.412","-0.4",,,,
"1763781615.415",,"-1.88","-4.51",,
"1763781615.417",,,,"-4.29",
"1763781615.421","-0.38",,,,
"1763781615.424",,"-1.88","-4.77",,
"1763781615.426",,,,"-4.3",
"1763781615.431","-0.42",,,,
"1763781615.434",,"-1.88","-4.65",,
"1763781615.436",,,,"-4.3",
"1763781615.44","-0.43",,,,
"1763781615.443",,"-1.88","-4.74",,
"1763781615.445",,,,"-4.3",
"1763781615.449","-0.41",,,,
"1763781615.452",,"-1.88","-4.5",,
"1763781615.454",,,,"-4.3",
"1763781615.459","-0.43",,,,
"1763781615.461",,"-1.88","-4.76",,
"1763781615.464",,,,"-4.3",
"1763781615.468","-0.4",,,,
"1763781615.471",,"-1.88","-4.48",,
"1763781615.473",,,,"-4.3",
"1763781615.478","-0.45",,,,
"1763781615.481",,"-1.88","-4.71",,
"1763781615.483",,,,"-4.3",
"1763781615.487","-0.45",,,,
"1763781615.49",,"-1.88","-4.5",,
"1763781615.492",,,,"-4.3",
"1763781615.497","-0.42",,,,
"1763781615.499",,"-1.88","-4.55",,
"1763781615.502",,,,"-4.3",
"1763781615.506","-0.34",,,,
"1763781615.509",,"-1.88","-4.34",,
"1763781615.511",,,,"-4.29",
"1763781615.516","-0.46",,,,
"1763781615.518",,"-1.88","-4.66",,
"1763781615.52",,,,"-4.29",
"1763781615.525","-0.5",,,,
"1763781615.528",,"-1.88","-4.56",,
"1763781615.53",,,,"-4.29",
"1763781615.534","-0.42",,,,
"1763781615.537",,"-1.88","-4.78",,
"1763781615.539",,,,"-4.3",
"1763781615.544","-0.46",,,,
"1763781615.546",,"-1.88","-4.56",,
"1763781615.549",,,,"-4.3",
"1763781615.553","-0.46",,,,
"1763781615.556",,"-1.88","-4.64",,
"1763781615.558",,,,"-4.3",
"1763781615.563","-0.45",,,,
"1763781615.565",,"-1.88",,,
"1763781615.566",,,"-4.53",,
"1763781615.568",,,,"-4.29",
"1763781615.572","-0.43",,,,
"1763781615.575",,"-1.88","-4.54",,
"1763781615.577",,,,"-4.29",
"1763781615.581","-0.28",,,,
"1763781615.584",,"-1.88","-4.52",,
"1763781615.586",,,,"-4.29",
"1763781615.591","-0.38",,,,
"1763781615.594",,"-1.88","-4.68",,
"1763781615.596",,,,"-4.29",
"1763781615.6","-0.45",,,,
"1763781615.603",,"-1.88","-4.62",,
"1763781615.605",,,,"-4.29",
"1763781615.61","-0.4",,,,
"1763781615.613",,"-1.88","-4.71",,
"1763781615.615",,,,"-4.3",
"1763781615.619","-0.39",,,,
"1763781615.622",,"-1.88","-4.7",,
"1763781615.624",,,,"-4.3",
"1763781615.629","-0.36",,,,
"1763781615.631",,"-1.88","-4.7",,
"1763781615.634",,,,"-4.3",
"1763781615.638","-0.41",,,,
"1763781615.641",,"-1.88","-4.62",,
"1763781615.643",,,,"-4.3",
"1763781615.648","-0.45",,,,
"1763781615.65",,"-1.88","-4.57",,
"1763781615.652",,,,"-4.3",
"1763781615.657","-0.33",,,,
"1763781615.66",,"-1.88","-4.6",,
"1763781615.662",,,,"-4.3",
"1763781615.666","-0.42",,,,
"1763781615.669",,"-1.88","-4.6",,
"1763781615.671",,,,"-4.3",
"1763781615.676","-0.34",,,,
"1763781615.678",,"-1.88",,,
"1763781615.679",,,"-4.53",,
"1763781615.681",,,,"-4.3",
"1763781615.685","-0.39",,,,
"1763781615.688",,"-1.88","-4.51",,
"1763781615.69",,,,"-4.3",
"1763781615.695","-0.35",,,,
"1763781615.697",,"-1.88","-4.61",,
"1763781615.699",,,,"-4.3",
"1763781615.704","-0.5",,,,
"1763781615.707",,"-1.88","-4.62",,
"1763781615.709",,,,"-4.3",
"1763781615.713","-0.38",,,,
"1763781615.716",,"-1.88","-4.55",,
"1763781615.718",,,,"-4.3",
"1763781615.723","-0.39",,,,
"1763781615.726",,"-1.88","-4.56",,
"1763781615.728",,,,"-4.3",
"1763781615.732","-0.34",,,,
"1763781615.735",,"-1.88","-4.73",,
"1763781615.737",,,,"-4.3",
"1763781615.742","-0.38",,,,
"1763781615.745",,"-1.88","-4.55",,
"1763781615.746",,,,"-4.3",
"1763781615.751","-0.32",,,,
"1763781615.754",,"-1.88","-4.53",,
"1763781615.756",,,,"-4.3",
"1763781615.761","-0.32",,,,
"1763781615.763",,"-1.88","-4.67",,
"1763781615.766",,,,"-4.3",
"1763781615.77","-0.43",,,,
"1763781615.773",,"-1.88","-4.72",,
"1763781615.775",,,,"-4.3",
"1763781615.779","-0.49",,,,
"1763781615.782",,"-1.88","-4.55",,
"1763781615.784",,,,"-4.3",
"1763781615.789","-0.35",,,,
"1763781615.792",,"-1.88","-4.67",,
"1763781615.794",,,,"-4.3",
"1763781615.798","-0.31",,,,
"1763781615.801",,"-1.88","-4.46",,
"1763781615.803",,,,"-4.3",
"1763781615.808","-0.25",,,,
"1763781615.811",,"-1.87","-4.51",,
"1763781615.813",,,,"-4.3",
"1763781615.817","-0.46",,,,
"1763781615.82",,"-1.88","-4.56",,
"1763781615.822",,,,"-4.3",
"1763781615.827","-0.46",,,,
"1763781615.829",,"-1.88","-4.75",,
"1763781615.831",,,,"-4.3",
"1763781615.836","-0.5",,,,
"1763781615.839",,"-1.88","-4.66",,
"1763781615.841",,,,"-4.3",
"1763781615.845","-0.46",,,,
"1763781615.848",,"-1.88","-4.74",,
"1763781615.85",,,,"-4.3",
"1763781615.855","-0.49",,,,
"1763781615.858",,"-1.88","-4.68",,
"1763781615.86",,,,"-4.3",
"1763781615.864","-0.41",,,,
"1763781615.867",,"-1.88","-4.69",,
"1763781615.869",,,,"-4.3",
"1763781615.874","-0.38",,,,
"1763781615.876",,"-1.88","-4.52",,
"1763781615.879",,,,"-4.3",
"1763781615.883","-0.35",,,,
"1763781615.886",,"-1.88","-4.62",,
"1763781615.888",,,,"-4.3",
"1763781615.892","-0.49",,,,
"1763781615.895",,"-1.88","-4.44",,
"1763781615.897",,,,"-4.3",
"1763781615.902","-0.47",,,,
"1763781615.905",,"-1.88","-4.63",,
"1763781615.907",,,,"-4.3",
"1763781615.911","-0.45",,,,
"1763781615.914",,"-1.88","-4.41",,
"1763781615.916",,,,"-4.3",
"1763781615.921","-0.42",,,,
"1763781615.924",,"-1.88","-4.53",,
"1763781615.926",,,,"-4.3",
"1763781615.93","-0.43",,,,
"1763781615.933",,"-1.88","-4.4",,
"1763781615.935",,,,"-4.3",
"1763781615.94","-0.34",,,,
"1763781615.942",,"-1.88","-4.57",,
"1763781615.945",,,,"-4.3",
"1763781615.949","-0.43",,,,
"1763781615.952",,"-1.88","-4.41",,
"1763781615.954",,,,"-4.29",
"1763781615.959","-0.35",,,,
"1763781615.961",,"-1.88","-4.58",,
"1763781615.964",,,,"-4.29",
"1763781615.968","-0.49",,,,
"1763781615.971",,"-1.88","-4.61",,
"1763781615.973",,,,"-4.29",
"1763781615.977","-0.32",,,,
"1763781615.98",,"-1.88","-4.82",,
"1763781615.982",,,,"-4.3",
"1763781615.987","-0.45",,,,
"1763781615.989",,"-1.88","-4.53",,
"1763781615.991",,,,"-4.29",
"1763781615.996","-0.43",,,,
"1763781615.999",,"-1.88","-4.66",,
"1763781616.001",,,,"-4.3",
"1763781616.006","-0.46",,,,
"1763781616.008",,"-1.88",,,
"1763781616.009",,,"-4.42",,
"1763781616.011",,,,"-4.29",
"1763781616.016","-0.38",,,,
"1763781616.018",,"-1.88","-4.71",,
"1763781616.02",,,,"-4.3",
"1763781616.025","-0.42",,,,
"1763781616.027",,"-1.88","-4.52",,
"1763781616.03",,,,"-4.29",
"1763781616.034","-0.36",,,,
"1763781616.037",,"-1.88","-4.78",,
"1763781616.039",,,,"-4.3",
"1763781616.043","-0.36",,,,
"1763781616.046",,"-1.88","-4.54",,
"1763781616.048",,,,"-4.3",
"1763781616.053","-0.36",,,,
"1763781616.056",,"-1.88","-4.88",,
"1763781616.058",,,,"-4.3",
"1763781616.062","-0.42",,,,
"1763781616.065",,"-1.88","-4.47",,
"1763781616.067",,,,"-4.3",
"1763781616.072","-0.33",,,,
"1763781616.074",,"-1.88","-4.51",,
"1763781616.077",,,,"-4.3",
"1763781616.081","-0.45",,,,
"1763781616.084",,"-1.88","-4.32",,
"1763781616.086",,,,"-4.29",
"1763781616.091","-0.38",,,,
"1763781616.093",,"-1.88","-4.67",,
"1763781616.095",,,,"-4.29",
"1763781616.1","-0.4",,,,
"1763781616.103",,"-1.88","-4.51",,
"1763781616.105",,,,"-4.29",
"1763781616.109","-0.43",,,,
"1763781616.112",,"-1.88","-4.66",,
"1763781616.114",,,,"-4.3",
"1763781616.119","-0.36",,,,
"1763781616.122",,"-1.88","-4.52",,
"1763781616.124",,,,"-4.29",
"1763781616.128","-0.32",,,,
"1763781616.131",,"-1.88","-4.65",,
"1763781616.133",,,,"-4.3",
"1763781616.138","-0.34",,,,
"1763781616.14",,"-1.88","-4.56",,
"1763781616.143",,,,"-4.3",
"1763781616.147","-0.27",,,,
"1763781616.15",,"-1.87","-4.79",,
"1763781616.152",,,,"-4.3",
"1763781616.157","-0.38",,,,
"1763781616.159",,"-1.87","-4.49",,
"1763781616.161",,,,"-4.3",
"1763781616.166","-0.32",,,,
"1763781616.169",,"-1.87","-4.66",,
"1763781616.171",,,,"-4.3",
"1763781616.175","-0.38",,,,
"1763781616.178",,"-1.87","-4.29",,
"1763781616.18",,,,"-4.29",
"1763781616.185","-0.39",,,,
"1763781616.187",,"-1.87",,,
"1763781616.188",,,"-4.68",,
"1763781616.19",,,,"-4.29",
"1763781616.194","-0.43",,,,
"1763781616.197",,"-1.87","-4.46",,
